2017-04-22 07:58:21,503 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FinalProject:CrimeType:0.0.1-SNAPSHOT @ /home/ankur/Desktop/ADBMS/CrimeType/pom.xml.
2017-04-22 07:58:23,139 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CrimeType/src/main/java
2017-04-22 07:58:23,141 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /CrimeType/src/main/resources
2017-04-22 07:58:23,143 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CrimeType/src/test/java
2017-04-22 07:58:23,143 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /CrimeType/src/test/resources
2017-04-22 07:58:24,624 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-22 07:58:24,644 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-22 07:58:24,646 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-22 07:58:24,647 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-22 07:59:10,411 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FinalProject:CrimeType:0.0.1-SNAPSHOT @ /home/ankur/Desktop/ADBMS/FinalProject/pom.xml.
2017-04-22 07:59:10,556 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-22 07:59:10,559 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
